"TAHUN","MAHASISWA","SKOR_MAT","SKOR_FIS","SKOR_ING","SKOR_IND","SKOR_SKO","SKOR_SKO_NALAR","SKOR_SKO_PAHAM","SKOR_SKO_BACAAN","SKOR_SKO_KUANTITATIF","SKOR_BENAR_SEMUA","SKOR_TOTAL"
2021,21782,24,18,4.5,9,3,,,,,128,45.7
2021,21547,21,12,13.5,4.5,4,,,,,128,42.97
2021,21617,15,12,6,6,3,,,,,128,32.81
2021,21619,12,21,4.5,3,4,,,,,128,40.03
2021,21624,18,18,7.5,0,0,,,,,128,33.98
2021,21625,36,27,7.5,10.5,5,,,,,128,67.19
2021,21628,33,30,6,7.5,0,,,,,128,59.77
2021,21194,27,15,16.5,10.5,11,,,,,212,
2021,21195,48,36,7.5,9,8,,,,,212,
2021,21197,33,42,13.5,15,16,,,,,212,
2021,21273,21,21,12,13.5,6,,,,,212,
2021,21276,15,21,9,7.5,6,,,,,212,
2021,21280,18,18,7.5,9,12,,,,,212,
2021,21291,9,30,7.5,12,12,,,,,212,
2021,21905,36,6,10.5,7.5,7,,,,,128,52.34
2021,21652,21,30,6,1.5,5,,,,,128,49.61
2021,21492,36,30,7.5,7.5,1,,,,,128,64.06
2021,21593,18,18,4.5,7.5,5,,,,,128,41.41
2021,21651,15,21,7.5,10.5,6,,,,,128,46.88
2021,21804,24,9,1.5,9,3,,,,,128,36.33
2021,21217,12,15,7.5,15,12,,,,,212,
2021,21191,15,24,7.5,9,9,,,,,212,
2021,21068,12,18,10.5,12,7,,,,,212,
2021,21104,21,15,4.5,9,12,,,,,212,
2021,21101,36,24,18,18,13,,,,,212,
2021,21167,54,42,9,18,10,,,,,212,
2021,21144,33,42,18,15,9,,,,,212,
2021,21132,12,12,12,10.5,11,,,,,212,
2021,21374,9,18,10.5,7.5,14,,,,,212,
2021,21398,12,9,3,4.5,2,,,,,128,42.44
2021,21798,18,15,9,6,4,,,,,128,40.63
2021,21382,33,30,21,12,10,,,,,212,
2021,21364,24,36,12,15,11,,,,,212,
2021,20984,48,54,15,24,9,,,,,212,
2021,21010,30,36,15,15,11,,,,,212,
2021,21043,33,21,13.5,12,12,,,,,212,
2021,21084,39,18,13.5,18,5,,,,,212,
2021,20990,45,42,13.5,9,11,,,,,212,
2021,21366,33,48,13.5,18,8,,,,,212,
2021,21154,21,39,9,10.5,12,,,,,212,
2021,21155,18,21,7.5,12,9,,,,,212,
2021,21157,51,36,15,15,11,,,,,212,
2021,21453,27,12,12,12,3,,,,,128,56.83
2021,21202,45,30,10.5,18,10,,,,,212,
2021,21275,15,21,9,9,10,,,,,212,
2021,21147,45,45,19.5,13.5,6,,,,,212,
2021,21112,54,36,12,12,12,,,,,212,
2021,21485,33,27,9,9,1,,,,,128,61.72
2021,21700,21,6,7.5,6,5,,,,,128,35.55
2021,21408,18,18,6,6,2,,,,,128,39.06
2021,21519,42,33,12,9,5,,,,,128,78.91
2021,21489,33,27,7.5,7.5,0,,,,,128,58.59
2021,21749,9,3,4.5,1.5,2,,,,,128,20.89
2021,21445,33,15,6,3,6,,,,,128,49.22
2021,21479,33,15,6,10.5,1,,,,,128,51.17
2021,21533,12,15,4.5,6,6,,,,,128,33.98
2021,21123,33,24,12,16.5,8,,,,,212,
2021,21330,30,24,12,19.5,12,,,,,212,
2021,21620,27,21,12,6,2,,,,,128,53.13
2021,21498,24,24,3,4.5,1,,,,,128,49.41
2021,21474,42,27,7.5,10.5,3,,,,,128,75.58
2021,21710,12,9,4.5,3,5,,,,,128,32.75
2021,21487,18,21,10.5,12,5,,,,,128,51.95
2021,21576,30,36,4.5,10.5,2,,,,,128,64.84
2021,21545,18,3,4.5,10.5,4,,,,,128,31.25
2021,21596,12,12,6,6,2,,,,,128,37.46
2021,21290,12,18,6,7.5,4,,,,,212,
2021,21019,33,36,9,13.5,11,,,,,212,
2021,21200,18,15,6,15,13,,,,,212,
2021,20948,15,18,7.5,9,10,,,,,212,
2021,20983,36,33,12,10.5,12,,,,,212,
2021,21071,18,39,19.5,12,9,,,,,212,
2021,21174,15,18,9,13.5,6,,,,,212,
2021,20937,21,30,15,12,11,,,,,212,
2021,21001,36,24,16.5,13.5,10,,,,,212,
2021,20962,27,24,9,15,10,,,,,212,
2021,21159,48,45,13.5,12,12,,,,,212,
2021,20993,30,24,15,16.5,14,,,,,212,
2021,20959,21,24,18,16.5,11,,,,,212,
2021,21376,12,12,6,9,6,,,,,212,
2021,21058,9,12,10.5,16.5,10,,,,,212,
